"var","categoria","Unión por la Patria","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","Hacemos por nuestro país","En blanco","No sabe"
"P37","Negativa",0.002,0.152,0.167,0.012,0.041,0,0.021
"P37","No sabe",0.068,0.015,0.021,0.1,0.076,0.031,0.278
"P38","Muy positiva",0.354,0.093,0.082,0.223,0.234,0.477,0.21
"P38","Positiva",0.318,0.083,0.17,0.093,0.362,0.209,0.237
"P38","Neutral",0.173,0.336,0.337,0.514,0.091,0.185,0.19
"P38","Algo negativa",0.012,0.154,0.209,0,0.067,0.043,0.127
"P38","Negativa",0.005,0.252,0.15,0.013,0.197,0.018,0.099
"P38","No sabe",0.138,0.082,0.052,0.157,0.049,0.068,0.137
"P39","Muy positiva",0.618,0.189,0.415,0.378,0.235,0.534,0.363
"P39","Positiva",0.217,0.14,0.243,0.213,0.488,0.343,0.27
"P39","Neutral",0.112,0.344,0.227,0.259,0.193,0.052,0.314
"P39","Algo negativa",0.004,0.114,0.074,0,0,0.024,0
"P39","Negativa",0.025,0.194,0.018,0,0.059,0.015,0.007
"P39","No sabe",0.024,0.019,0.023,0.15,0.025,0.032,0.046
"P40","Muy positiva",0.561,0.19,0.198,0.459,0.27,0.718,0.353
"P40","Positiva",0.241,0.243,0.169,0.189,0.465,0.187,0.117
"P40","Neutral",0.091,0.216,0.394,0.34,0.225,0.021,0.22
"P40","Algo negativa",0.031,0.024,0.118,0.012,0,0.038,0.042
"P40","Negativa",0.02,0.147,0.061,0,0.04,0,0.115
"P40","No sabe",0.056,0.18,0.06,0,0,0.036,0.153
"P41","Lo votaría",0.762,0.129,0.013,0.094,0.021,0.255,0.234
"P41","Puede que lo vote",0.108,0.036,0.022,0.27,0.34,0.06,0.127
"P41","Nunca lo votaría",0.07,0.767,0.932,0.498,0.556,0.615,0.269
"P41","No sabe",0.06,0.068,0.033,0.138,0.083,0.07,0.37
"P42","Lo votaría",0.026,0.707,0.028,0.134,0.083,0,0.003
"P42","Puede que lo vote",0.035,0.095,0.246,0.126,0.238,0.119,0.033
"P42","Nunca lo votaría",0.931,0.113,0.642,0.614,0.485,0.747,0.416
"P42","No sabe",0.008,0.085,0.084,0.126,0.194,0.134,0.548
"P43","Lo votaría",0.046,0.062,0.885,0.175,0.021,0,0.039
"P43","Puede que lo vote",0.028,0.105,0.048,0.036,0.238,0.103,0.241
"P43","Nunca lo votaría",0.878,0.807,0.036,0.789,0.547,0.858,0.523
"P43","No sabe",0.048,0.026,0.031,0,0.194,0.039,0.197
"P44","Lo votaría",0.1,0.171,0.154,0.071,0.103,0,0.027
"P44","Puede que lo vote",0.088,0.098,0.067,0.278,0.366,0.164,0.13
"P44","Nunca lo votaría",0.767,0.655,0.714,0.597,0.348,0.819,0.144
"P44","No sabe",0.045,0.076,0.065,0.054,0.183,0.017,0.699
"P45","Si",0.396,0.433,0.341,0.213,0.249,0.374,0.374
"P45","No",0.604,0.567,0.659,0.787,0.751,0.626,0.626
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria.",0.859,0.197,0.043,0.265,0.05,0.302,0.306
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.036,0.695,0.043,0.064,0.391,0.028,0.049
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.085,0.101,0.907,0.098,0.152,0.034,0.098
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.003,0,0.001,0.471,0.014,0.138,0.033
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.004,0.005,0,0,0.393,0.168,0.089
"PRESIDENTE","En blanco",0,0.001,0.004,0.102,0,0.28,0.001
"PRESIDENTE","No sabe",0.013,0.001,0.002,0,0,0.05,0.424
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria.",0.896,0.172,0.046,0.347,0.262,0.406,0.395
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0.019,0.758,0.099,0.048,0.235,0.03,0.011
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0.068,0.068,0.846,0.044,0.063,0.034,0.095
"GOBERNADOR","El candidato a gobernador de la Izquierda",0.005,0,0,0.451,0.104,0.147,0.002
"GOBERNADOR","En blanco",0,0.001,0.004,0.104,0.127,0.284,0.011
"GOBERNADOR","No sabe",0.012,0.001,0.005,0.006,0.209,0.099,0.486
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria.",0.76,0.131,0.044,0.062,0.285,0.206,0.296
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.057,0.662,0.053,0.041,0.315,0.021,0.037
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.032,0.06,0.819,0.158,0.08,0.047,0.054
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.042,0.087,0.066,0.261,0.182,0.057,0.007
"INTENDENTE","El candidato a intendente de la Izquierda",0.046,0.039,0.004,0.472,0.015,0.14,0.085
"INTENDENTE","En blanco",0.022,0.008,0.001,0.006,0.066,0.487,0.039
"INTENDENTE","No sabe",0.041,0.013,0.013,0,0.057,0.042,0.482
"CORTA_PRESIDENTE","Si",0.096,0.146,0.058,0.305,0.4,0.114,0.242
"CORTA_PRESIDENTE","No",0.904,0.854,0.942,0.695,0.6,0.886,0.758
"CORTA_GOBERNADOR","Si",0.166,0.169,0.126,0.391,0.668,0.232,0.274
"CORTA_GOBERNADOR","No",0.834,0.831,0.874,0.609,0.332,0.768,0.726
"CORTA_INTENDENTE","Si",0.259,0.249,0.198,0.593,0.638,0.387,0.292
"CORTA_INTENDENTE","No",0.741,0.751,0.802,0.407,0.362,0.613,0.708
"P13_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria.",0.861,0.179,0.049,0.107,0.084,0.303,0.578
"P13_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.035,0.706,0.054,0.166,0.389,0.034,0.073
"P13_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.09,0.057,0.876,0.077,0,0.047,0.153
"P13_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.01,0.008,0.008,0.162,0.066,0.047,0.073
"P13_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0,0.009,0.448,0.092,0.133,0.01
"P13_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.001,0.021,0.002,0.003,0.369,0.172,0.052
"P13_imputada","En blanco",0,0.029,0.002,0.037,0,0.264,0.061
"P17_imputada","Sergio Massa a presidente por Unión por la Patria.",0.678,0.261,0.082,0.337,0.047,0.516,0.34
"P17_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.102,0.544,0.072,0.1,0.309,0.038,0.217
"P17_imputada","Javier Milei a presidente por la Libertad Avanza",0.189,0.169,0.844,0.061,0.211,0,0.173
"P17_imputada","Los candidatos a presidente de la Izquierda",0.006,0,0.002,0.446,0.016,0,0.035
"P17_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.025,0.026,0,0,0.417,0.011,0.235
"P17_imputada","En blanco",0,0,0,0.056,0,0.435,0
"P20_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.832,0.24,0.089,0.517,0.343,0.835,0.599
"P20_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.031,0.694,0.233,0.043,0.257,0.096,0.084
"P20_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.126,0.066,0.678,0,0.152,0,0.092
"P20_imputada","El candidato a gobernador de la Izquierda",0.011,0,0,0.394,0.134,0,0
"P20_imputada","En blanco",0,0,0,0.046,0.114,0.069,0.225
"P23_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.499,0.124,0.102,0.066,0.545,0.42,0.439
"P23_imputada","Zencich a intendente por Juntos por el Cambio",0.129,0.47,0.141,0.031,0.167,0.021,0.125
"P23_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.071,0.053,0.594,0.181,0.128,0.016,0.035
"P23_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.078,0.223,0.154,0.212,0.16,0.072,0.017
"P23_imputada","El candidato a intendente de la Izquierda",0.19,0.108,0.007,0.503,0,0,0.134
"P23_imputada","En blanco",0.033,0.022,0.002,0.007,0,0.471,0.25
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria.",0.862,0.197,0.043,0.265,0.05,0.326,0.508
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.039,0.696,0.043,0.064,0.391,0.05,0.142
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.091,0.101,0.907,0.098,0.152,0.034,0.13
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0.003,0,0.001,0.471,0.014,0.138,0.04
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.005,0.005,0,0,0.393,0.172,0.171
"PRESIDENTE_imputada","En blanco",0,0.001,0.006,0.102,0,0.28,0.009
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria.",0.9,0.172,0.046,0.353,0.262,0.43,0.708
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.019,0.759,0.101,0.048,0.392,0.101,0.051
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.076,0.068,0.847,0.044,0.063,0.034,0.11
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0.005,0,0,0.451,0.104,0.147,0.005
"GOBERNADOR_imputada","En blanco",0,0.001,0.006,0.104,0.179,0.288,0.126
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria.",0.765,0.132,0.043,0.062,0.316,0.206,0.62
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.057,0.672,0.055,0.041,0.315,0.045,0.069
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.062,0.061,0.823,0.158,0.08,0.047,0.074
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.042,0.088,0.072,0.261,0.208,0.057,0.008
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0.051,0.039,0.004,0.472,0.015,0.14,0.089
"INTENDENTE_imputada","En blanco",0.023,0.008,0.003,0.006,0.066,0.505,0.14
