"var","categoria","1-Excelente","2","3","4","5","6","7","8","9-Pésimo","No sabe"
"P36","4",0.042,0.051,0.087,0.32,0.083,0.066,0.027,0.015,0.002,0.005
"P36","5",0.087,0.024,0.096,0.218,0.544,0.275,0.268,0.167,0.053,0.006
"P36","6",0.005,0.012,0.064,0.115,0.077,0.289,0.074,0.09,0.028,0.014
"P36","7",0.005,0.012,0.004,0.053,0.028,0.215,0.267,0.131,0.044,0
"P36","8",0.003,0.017,0.011,0.005,0.02,0.055,0.093,0.307,0.1,0.011
"P36","9-Pésimo",0.012,0.015,0.011,0.018,0.022,0.015,0.034,0.241,0.731,0.027
"P36","No sabe",0.025,0.008,0.004,0.008,0.056,0.029,0.03,0.019,0.018,0.826
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.403,0.351,0.312,0.49,0.412,0.581,0.433,0.437,0.414,0.369
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.205,0.331,0.331,0.167,0.185,0.208,0.225,0.106,0.181,0.188
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.216,0.13,0.198,0.127,0.201,0.05,0.113,0.213,0.153,0.139
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.156,0.163,0.081,0.126,0.131,0.044,0.217,0.208,0.237,0.144
"P37","No sabe",0.02,0.025,0.078,0.09,0.071,0.117,0.012,0.036,0.015,0.16
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.347,0.326,0.298,0.351,0.327,0.482,0.299,0.368,0.393,0.294
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.214,0.268,0.248,0.225,0.168,0.294,0.26,0.087,0.107,0.178
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.226,0.281,0.285,0.16,0.313,0.145,0.244,0.367,0.23,0.188
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.204,0.109,0.111,0.175,0.147,0.037,0.145,0.156,0.225,0.16
"P38","No sabe",0.009,0.016,0.058,0.089,0.045,0.042,0.052,0.022,0.045,0.18
"P39","Oponerse totalmente",0.348,0.281,0.359,0.409,0.305,0.473,0.329,0.302,0.402,0.345
"P39","Oponerse parcialmente",0.149,0.241,0.116,0.103,0.187,0.161,0.176,0.129,0.084,0.088
"P39","Apoyar parcialmente",0.28,0.284,0.326,0.175,0.271,0.239,0.248,0.316,0.221,0.281
